gameNumber,gameLength
6001,10
6002,54
6003,50
6004,32
6005,11
6006,8
6007,27
6008,51
6009,39
6010,41
6011,23
6012,35
6013,46
6014,24
6015,22
6016,53
6017,50
6018,22
6019,26
6020,37
6021,34
6022,9
6023,12
6024,68
6025,70
6026,46
6027,9
6028,20
6029,40
6030,52
6031,13
6032,15
6033,23
6034,25
6035,80
6036,13
6037,59
6038,59
6039,8
6040,20
6041,15
6042,21
6043,73
6044,59
6045,79
6046,21
6047,99
6048,38
6049,37
6050,14
6051,63
6052,47
6053,14
6054,27
6055,30
6056,14
6057,33
6058,39
6059,27
6060,29
6061,23
6062,37
6063,10
6064,8
6065,17
6066,23
6067,37
6068,19
6069,31
6070,54
6071,24
6072,20
6073,79
6074,27
6075,37
6076,24
6077,25
6078,23
6079,33
6080,19
6081,68
6082,18
6083,54
6084,20
6085,23
6086,24
6087,56
6088,96
6089,24
6090,58
6091,50
6092,36
6093,25
6094,43
6095,53
6096,84
6097,35
6098,44
6099,59
6100,72
6101,24
6102,41
6103,20
6104,28
6105,21
6106,23
6107,18
6108,48
6109,30
6110,12
6111,20
6112,13
6113,117
6114,39
6115,64
6116,20
6117,70
6118,26
6119,18
6120,23
6121,19
6122,105
6123,21
6124,53
6125,64
6126,49
6127,20
6128,41
6129,18
6130,21
6131,26
6132,35
6133,45
6134,9
6135,43
6136,56
6137,10
6138,16
6139,23
6140,25
6141,78
6142,26
6143,26
6144,22
6145,36
6146,23
6147,18
6148,24
6149,17
6150,35
6151,27
6152,35
6153,92
6154,48
6155,13
6156,95
6157,33
6158,18
6159,43
6160,17
6161,16
6162,24
6163,23
6164,49
6165,37
6166,14
6167,13
6168,33
6169,35
6170,73
6171,17
6172,36
6173,56
6174,74
6175,19
6176,33
6177,46
6178,47
6179,13
6180,25
6181,42
6182,37
6183,43
6184,21
6185,27
6186,17
6187,24
6188,17
6189,16
6190,99
6191,20
6192,25
6193,40
6194,72
6195,18
6196,25
6197,17
6198,17
6199,23
6200,23
6201,25
6202,20
6203,117
6204,26
6205,69
6206,49
6207,158
6208,90
6209,18
6210,25
6211,13
6212,26
6213,20
6214,13
6215,23
6216,30
6217,17
6218,19
6219,10
6220,46
6221,57
6222,48
6223,78
6224,16
6225,26
6226,23
6227,39
6228,24
6229,47
6230,14
6231,39
6232,34
6233,22
6234,37
6235,33
6236,59
6237,20
6238,35
6239,17
6240,16
6241,23
6242,62
6243,23
6244,27
6245,62
6246,100
6247,22
6248,20
6249,40
6250,30
6251,49
6252,17
6253,12
6254,76
6255,12
6256,72
6257,36
6258,25
6259,68
6260,13
6261,53
6262,27
6263,68
6264,30
6265,9
6266,56
6267,13
6268,98
6269,43
6270,40
6271,65
6272,30
6273,22
6274,42
6275,11
6276,62
6277,28
6278,25
6279,28
6280,37
6281,36
6282,23
6283,16
6284,28
6285,16
6286,31
6287,59
6288,25
6289,18
6290,20
6291,20
6292,32
6293,30
6294,55
6295,29
6296,27
6297,37
6298,27
6299,33
6300,20
6301,27
6302,28
6303,55
6304,97
6305,25
6306,67
6307,55
6308,40
6309,29
6310,13
6311,23
6312,50
6313,101
6314,19
6315,43
6316,43
6317,128
6318,39
6319,8
6320,46
6321,37
6322,52
6323,20
6324,39
6325,45
6326,35
6327,50
6328,61
6329,27
6330,32
6331,34
6332,23
6333,46
6334,53
6335,92
6336,28
6337,15
6338,13
6339,60
6340,75
6341,30
6342,66
6343,15
6344,18
6345,10
6346,20
6347,33
6348,51
6349,153
6350,42
6351,80
6352,10
6353,30
6354,17
6355,13
6356,24
6357,39
6358,30
6359,58
6360,30
6361,57
6362,50
6363,11
6364,63
6365,19
6366,15
6367,76
6368,19
6369,12
6370,10
6371,28
6372,27
6373,46
6374,13
6375,24
6376,130
6377,24
6378,22
6379,23
6380,46
6381,26
6382,24
6383,29
6384,53
6385,22
6386,86
6387,20
6388,25
6389,105
6390,12
6391,20
6392,23
6393,37
6394,23
6395,52
6396,26
6397,30
6398,16
6399,92
6400,30
6401,32
6402,7
6403,35
6404,31
6405,30
6406,14
6407,33
6408,46
6409,60
6410,72
6411,34
6412,65
6413,20
6414,13
6415,26
6416,33
6417,26
6418,17
6419,51
6420,29
6421,33
6422,30
6423,79
6424,23
6425,39
6426,17
6427,18
6428,83
6429,12
6430,44
6431,25
6432,54
6433,65
6434,40
6435,14
6436,27
6437,29
6438,23
6439,27
6440,74
6441,18
6442,41
6443,93
6444,79
6445,15
6446,14
6447,36
6448,50
6449,16
6450,25
6451,55
6452,41
6453,53
6454,10
6455,46
6456,13
6457,44
6458,36
6459,29
6460,27
6461,47
6462,90
6463,32
6464,32
6465,34
6466,99
6467,72
6468,27
6469,19
6470,17
6471,25
6472,20
6473,8
6474,24
6475,13
6476,20
6477,19
6478,24
6479,34
6480,54
6481,48
6482,43
6483,22
6484,29
6485,13
6486,24
6487,12
6488,51
6489,34
6490,17
6491,15
6492,74
6493,71
6494,26
6495,23
6496,35
6497,66
6498,17
6499,52
6500,30
6501,87
6502,17
6503,25
6504,38
6505,9
6506,37
6507,25
6508,17
6509,44
6510,16
6511,15
6512,10
6513,40
6514,26
6515,9
6516,32
6517,48
6518,51
6519,28
6520,83
6521,35
6522,32
6523,58
6524,57
6525,50
6526,10
6527,29
6528,8
6529,116
6530,84
6531,37
6532,23
6533,18
6534,24
6535,36
6536,17
6537,52
6538,38
6539,18
6540,33
6541,19
6542,51
6543,13
6544,7
6545,15
6546,19
6547,18
6548,21
6549,30
6550,21
6551,15
6552,23
6553,58
6554,47
6555,51
6556,38
6557,15
6558,17
6559,37
6560,38
6561,65
6562,54
6563,50
6564,50
6565,11
6566,29
6567,35
6568,55
6569,25
6570,42
6571,36
6572,74
6573,48
6574,68
6575,42
6576,34
6577,18
6578,50
6579,13
6580,66
6581,63
6582,35
6583,51
6584,13
6585,69
6586,58
6587,22
6588,19
6589,19
6590,19
6591,24
6592,31
6593,54
6594,71
6595,110
6596,21
6597,18
6598,16
6599,16
6600,23
6601,20
6602,29
6603,48
6604,38
6605,59
6606,34
6607,53
6608,180
6609,25
6610,30
6611,66
6612,40
6613,18
6614,25
6615,13
6616,28
6617,14
6618,33
6619,11
6620,38
6621,44
6622,16
6623,38
6624,24
6625,43
6626,10
6627,13
6628,52
6629,41
6630,11
6631,36
6632,25
6633,36
6634,43
6635,17
6636,30
6637,20
6638,21
6639,47
6640,42
6641,9
6642,29
6643,30
6644,94
6645,36
6646,21
6647,22
6648,18
6649,10
6650,76
6651,31
6652,43
6653,26
6654,35
6655,26
6656,29
6657,38
6658,65
6659,31
6660,21
6661,20
6662,117
6663,117
